T_forfft,V_forfft
-5.92470e+01,0.00000e+00
-5.85461e+01,0.00000e+00
-5.78451e+01,0.00000e+00
-5.71442e+01,0.00000e+00
-5.64432e+01,0.00000e+00
-5.57422e+01,0.00000e+00
-5.50413e+01,0.00000e+00
-5.43403e+01,0.00000e+00
-5.36393e+01,0.00000e+00
-5.29384e+01,0.00000e+00
-5.22374e+01,0.00000e+00
-5.15364e+01,0.00000e+00
-5.08355e+01,0.00000e+00
-5.01345e+01,0.00000e+00
-4.94335e+01,0.00000e+00
-4.87326e+01,0.00000e+00
-4.80316e+01,0.00000e+00
-4.73306e+01,0.00000e+00
-4.66297e+01,0.00000e+00
-4.59287e+01,0.00000e+00
-4.52278e+01,0.00000e+00
-4.45268e+01,0.00000e+00
-4.38258e+01,0.00000e+00
-4.31249e+01,0.00000e+00
-4.24239e+01,0.00000e+00
-4.17229e+01,0.00000e+00
-4.10220e+01,0.00000e+00
-4.03210e+01,0.00000e+00
-3.96200e+01,0.00000e+00
-3.89191e+01,0.00000e+00
-3.82181e+01,0.00000e+00
-3.75171e+01,0.00000e+00
-3.68162e+01,0.00000e+00
-3.61152e+01,0.00000e+00
-3.54143e+01,0.00000e+00
-3.47133e+01,0.00000e+00
-3.40123e+01,0.00000e+00
-3.33114e+01,0.00000e+00
-3.26104e+01,0.00000e+00
-3.19094e+01,0.00000e+00
-3.12085e+01,0.00000e+00
-3.05075e+01,0.00000e+00
-2.98065e+01,0.00000e+00
-2.91056e+01,0.00000e+00
-2.84046e+01,0.00000e+00
-2.77036e+01,0.00000e+00
-2.70027e+01,0.00000e+00
-2.63017e+01,0.00000e+00
-2.56007e+01,0.00000e+00
-2.48998e+01,0.00000e+00
-2.41988e+01,0.00000e+00
-2.34979e+01,0.00000e+00
-2.27969e+01,0.00000e+00
-2.20959e+01,0.00000e+00
-2.13950e+01,0.00000e+00
-2.06940e+01,0.00000e+00
-1.99930e+01,0.00000e+00
-1.92921e+01,0.00000e+00
-1.85911e+01,0.00000e+00
-1.78901e+01,0.00000e+00
-1.71892e+01,0.00000e+00
-1.64882e+01,0.00000e+00
-1.57872e+01,0.00000e+00
-1.50863e+01,0.00000e+00
-1.43853e+01,0.00000e+00
-1.36844e+01,0.00000e+00
-1.29834e+01,0.00000e+00
-1.22824e+01,0.00000e+00
-1.15815e+01,0.00000e+00
-1.08805e+01,0.00000e+00
-1.01795e+01,0.00000e+00
-9.47856e+00,0.00000e+00
-8.77760e+00,0.00000e+00
-8.07663e+00,0.00000e+00
-7.37567e+00,0.00000e+00
-6.67470e+00,0.00000e+00
-5.97374e+00,0.00000e+00
-5.27278e+00,0.00000e+00
-4.57181e+00,7.57261e-10
-3.87085e+00,9.78110e-10
-3.16988e+00,1.28748e-09
-2.46892e+00,1.73311e-09
-1.76795e+00,2.39725e-09
-1.06699e+00,3.43076e-09
-3.66024e-01,5.13547e-09
3.34941e-01,8.20901e-09
1.03591e+00,1.50726e-08
1.73687e+00,3.88416e-08
2.43783e+00,1.47720e-07
3.13880e+00,6.00249e-07
3.83976e+00,2.24819e-06
4.54073e+00,6.56935e-06
5.24169e+00,1.18782e-05
5.94266e+00,2.03770e-05
6.64362e+00,2.86438e-05
7.34459e+00,1.76358e-05
8.04555e+00,1.45891e-05
8.74652e+00,9.72959e-06
9.44748e+00,-1.59383e-05
1.01484e+01,-1.67289e-05
1.08494e+01,-1.49043e-05
1.15504e+01,-2.19301e-05
1.22513e+01,-1.52235e-05
1.29523e+01,-9.78955e-06
1.36533e+01,-8.45754e-06
1.43542e+01,-4.79874e-06
1.50552e+01,-2.59340e-06
1.57562e+01,-1.74454e-06
1.64571e+01,-8.75735e-07
1.71581e+01,-4.29884e-07
1.78591e+01,-2.53481e-07
1.85600e+01,-1.23186e-07
1.92610e+01,-6.14429e-08
1.99619e+01,-3.22345e-08
2.06629e+01,-2.01790e-08
2.13639e+01,-1.21214e-08
2.20648e+01,-7.91000e-09
2.27658e+01,-5.79822e-09
2.34668e+01,-4.24290e-09
2.41677e+01,-3.23997e-09
2.48687e+01,-2.59974e-09
2.55697e+01,-2.08562e-09
2.62706e+01,-1.70504e-09
2.69716e+01,-1.42511e-09
2.76726e+01,-1.19465e-09
2.83735e+01,-1.01213e-09
2.90745e+01,-8.67455e-10
2.97755e+01,-7.46719e-10
3.04764e+01,-6.47219e-10
3.11774e+01,-5.64817e-10
3.18783e+01,-4.95007e-10
3.25793e+01,-4.35943e-10
3.32803e+01,-3.85711e-10
3.39812e+01,-3.42532e-10
3.46822e+01,-3.05323e-10
3.53832e+01,-2.73131e-10
3.60841e+01,-2.45040e-10
3.67851e+01,-2.20540e-10
3.74861e+01,-1.99059e-10
