,EvNum,Omega_reco,power_V,power_H,powerV_noise,powerH_noise
273,19368,11.782670438610353,317264817.6450316,21220030.25954967,2305456.86774099,7515525.90979793
275,19379,8.7136674406595,308688929.7035686,14712582.820531048,2305456.86774099,7515525.90979793
276,19388,11.492158016515825,114162153.95956008,12139107.093680529,2305456.86774099,7515525.90979793
277,19399,6.2273896042356816,266813229.22423,10664977.757360298,2305456.86774099,7515525.90979793
279,19416,9.149744905915922,99382036.66530617,10033869.521600388,2305456.86774099,7515525.90979793
281,19427,13.985962801427695,51531706.16935599,10569264.751938138,2305456.86774099,7515525.90979793
282,19434,6.595191119916395,190979271.60211644,10037666.272617254,2305456.86774099,7515525.90979793
283,19438,11.611050521976715,173777984.89275426,14754846.847551437,2305456.86774099,7515525.90979793
289,19497,3.777123583626202,73055139.75979945,7823888.126614308,2305456.86774099,7515525.90979793
292,19515,20.31230379194837,112043424.24974097,22551273.887393046,2305456.86774099,7515525.90979793
295,19535,1.0110172574423861,290039323.6054577,7605135.194621035,2305456.86774099,7515525.90979793
297,19549,7.438043388131661,201055081.0622212,10903008.962173443,2305456.86774099,7515525.90979793
299,19559,5.972107759727939,331482137.24169075,11117931.955828061,2305456.86774099,7515525.90979793
301,19571,7.593945883349764,186987558.1636051,10798153.114209035,2305456.86774099,7515525.90979793
302,19587,4.737933040143293,129492128.17241527,8389215.494224027,2305456.86774099,7515525.90979793
306,19607,7.563385329446414,224859028.4335291,11439151.816594101,2305456.86774099,7515525.90979793
308,19616,2.4415766136139294,192121506.5198825,7860633.382261292,2305456.86774099,7515525.90979793
309,19623,8.201873846298646,204780386.821022,11721956.141768137,2305456.86774099,7515525.90979793
310,19629,6.082116178598448,315180657.0427818,11067799.889942259,2305456.86774099,7515525.90979793
312,19636,4.08069788539117,174415733.36064848,8391519.258425206,2305456.86774099,7515525.90979793
313,19644,9.749246552822287,231530134.41605633,14282556.278261123,2305456.86774099,7515525.90979793
314,19650,6.62840948334584,81152564.30606937,8580272.506013574,2305456.86774099,7515525.90979793
316,19658,6.392936626949204,138957795.0721239,9231013.726453658,2305456.86774099,7515525.90979793
318,19672,8.481187517116968,105682520.12050718,9814154.807331705,2305456.86774099,7515525.90979793
319,19680,5.613149042272432,206248856.15814823,9485509.461339444,2305456.86774099,7515525.90979793
320,19684,8.619400430011527,303907957.3042025,14445490.769854564,2305456.86774099,7515525.90979793
