station day Pol depth SNRMax
2 361 0 -835.605 3.55753
2 361 0 -831.582 3.63271
2 361 0 -827.559 3.95905
2 361 0 -823.535 0
2 361 0 -819.512 3.41128
2 361 0 -815.488 0
2 361 0 -811.465 3.91746
2 361 0 -807.441 3.184
2 361 0 -803.418 0
2 361 0 -799.395 0
2 361 0 -795.371 3.48668
2 361 0 -791.348 0
2 361 0 -787.324 0
2 361 0 -783.301 3.70149
2 361 0 -779.277 0
2 361 0 -775.254 3.7906
2 361 0 -771.23 2.86364
2 361 0 -767.207 0
2 361 0 -763.184 0
2 361 0 -759.16 3.5676
2 361 0 -755.137 0
2 361 0 -751.113 0
2 361 0 -747.09 3.40657
2 361 0 -743.066 0
2 361 0 -739.043 3.13445
2 361 0 -735.02 4.04839
2 361 0 -730.996 0
2 361 0 -726.973 2.85229
2 361 0 -722.949 3.11033
2 361 0 -718.926 0
2 361 0 -714.902 0
2 361 0 -710.879 3.36438
2 361 0 -706.855 0
2 361 0 -702.832 0
2 361 0 -698.809 3.12338
2 361 0 -694.785 3.64432
2 361 0 -690.762 0
2 361 0 -686.738 3.06126
2 361 0 -682.715 3.49613
2 361 0 -678.691 0
2 361 0 -674.668 3.50584
2 361 0 -670.645 0
2 361 0 -666.621 0
2 361 0 -662.598 3.29966
2 361 0 -658.574 0
2 361 0 -654.551 0
2 361 0 -650.527 8.66428
2 361 0 -646.504 0
2 361 0 -642.48 3.68154
2 361 0 -638.457 0
2 361 0 -634.434 0
2 361 0 -630.41 3.69337
2 361 0 -626.387 0
2 361 0 -622.363 3.90165
2 361 0 -618.34 0
2 361 0 -614.316 0
2 361 0 -610.293 3.80763
2 361 0 -606.27 0
2 361 0 -602.246 3.51681
2 361 0 -598.223 0
2 361 0 -594.199 0
2 361 0 -590.176 0
2 361 0 -586.152 0
2 361 0 -582.129 0
2 361 0 -578.105 0
2 361 0 -574.082 0
2 361 0 -570.059 0
2 361 0 -566.035 0
